year,month,pagecount_all_views,pagecount_desktop_views,pagecount_mobile_views,pageview_all_views,pageview_desktop_views,pageview_mobile_views
2016,8,0,0,0,14085138648,4695046216,9390092432
2016,9,0,0,0,12405019494,4135006498,8270012996
2016,10,0,0,0,13085213070,4361737690,8723475380
2016,11,0,0,0,13176204708,4392068236,8784136472
2016,12,0,0,0,12628825734,4209608578,8419217156
2017,1,0,0,0,13565941194,4521980398,9043960796
2017,2,0,0,0,12080106489,4026702163,8053404326
2017,3,0,0,0,12959915706,4319971902,8639943804
2017,4,0,0,0,11854370976,3951456992,7902913984
2017,5,0,0,0,12563611737,4187870579,8375741158
2017,6,0,0,0,10813652991,3604550997,7209101994
2017,7,0,0,0,10696333632,3565444544,7130889088
2017,8,0,0,0,10726716939,3575572313,7151144626
2017,9,0,0,0,10642343676,3547447892,7094895784
2017,10,0,0,0,11722954917,3907651639,7815303278
2017,11,0,0,0,11448182769,3816060923,7632121846
2017,12,0,0,0,10921173288,3640391096,7280782192
2018,1,0,0,0,12335501067,4111833689,8223667378
2018,2,0,0,0,10903961082,3634653694,7269307388
2018,3,0,0,0,11895815775,3965271925,7930543850
2018,4,0,0,0,11288866257,3762955419,7525910838
2018,5,0,0,0,11026957188,3675652396,7351304792
2018,6,0,0,0,9835948302,3278649434,6557298868
2018,7,0,0,0,10371154767,3457051589,6914103178
2018,8,0,0,0,10197392367,3399130789,6798261578
2018,9,0,0,0,10301496693,3433832231,6867664462
2018,10,0,0,0,10921819734,3640606578,7281213156
2018,11,0,0,0,10345849686,3448616562,6897233124
2018,12,0,0,0,10139060727,3379686909,6759373818
2019,1,0,0,0,10848053478,3616017826,7232035652
2019,2,0,0,0,9734765805,3244921935,6489843870
2019,3,0,0,0,10318159800,3439386600,6878773200
2019,4,0,0,0,9990702732,3330234244,6660468488
2019,5,0,0,0,10094877651,3364959217,6729918434
2019,6,0,0,0,8959854714,2986618238,5973236476
2019,7,0,0,0,9421972662,3140657554,6281315108
2019,8,0,0,0,8939643594,2979881198,5959762396
2019,9,0,0,0,9184087896,3061362632,6122725264
2019,10,0,0,0,10765210458,3588403486,7176806972
2019,11,0,0,0,9757396326,3252465442,6504930884
2019,12,0,0,0,9291155982,3097051994,6194103988
2020,1,0,0,0,10321440705,3440480235,6880960470
2020,2,0,0,0,9529561077,3176520359,6353040718
2020,3,0,0,0,10237494822,3412498274,6824996548
2020,4,0,0,0,11395117839,3798372613,7596745226
2020,5,0,0,0,9234280845,3078093615,6156187230
2020,6,0,0,0,8163985671,2721328557,5442657114
2020,7,0,0,0,7916808396,2638936132,5277872264
2020,8,0,0,0,7839174717,2613058239,5226116478
2020,9,0,0,0,7985350500,2661783500,5323567000
2020,10,0,0,0,9125173491,3041724497,6083448994
2020,11,0,0,0,9285871413,3095290471,6190580942
2020,12,0,0,0,8605473432,2868491144,5736982288
2021,1,0,0,0,8991539370,2997179790,5994359580
2021,2,0,0,0,8284849575,2761616525,5523233050
2021,3,0,0,0,9424324080,3141441360,6282882720
2021,4,0,0,0,8648143476,2882714492,5765428984
2021,5,0,0,0,8473248531,2824416177,5648832354
2021,6,0,0,0,7517914098,2505971366,5011942732
2021,7,0,0,0,8296753104,2765584368,5531168736
2021,8,0,0,0,8290241802,2763413934,5526827868
